,0,1,2,3,4,5,6,7,8,9,10,11,12,discount%
91,intro,init-price,counter-price,,,,,,,,,,,
92,intro,init-price,counter-price,inform,inquiry,counter-price,,,,,,,,
93,intro,inform,init-price,counter-price,counter-price,agree,,,,,,,,0.0
94,intro,init-price,inquiry,counter-price,counter-price,insist,,,,,,,,0.0
95,intro,disagree,counter-price,counter-price,,,,,,,,,,14.0
96,intro,init-price,inform,inform,,,,,,,,,,8.0
97,init-price,inform,counter-price,insist,,,,,,,,,,5.0
98,intro,counter-price,,,,,,,,,,,,
99,intro,counter-price,counter-price,counter-price,,,,,,,,,,
100,init-price,counter-price,disagree,,,,,,,,,,,
101,intro,inquiry,init-price,,,,,,,,,,,
102,intro,init-price,inform,counter-price,inquiry,counter-price,,,,,,,,
103,intro,inquiry,inform,inform,init-price,counter-price,counter-price,agree,,,,,,
104,intro,inquiry,inquiry,counter-price,,,,,,,,,,
105,intro,init-price,insist,agree,,,,,,,,,,15.0
106,intro,disagree,counter-price,insist,counter-price,,,,,,,,,0.0
107,intro,inquiry,init-price,,,,,,,,,,,
108,intro,inform,init-price,counter-price,counter-price,inform,,,,,,,,38.0
109,intro,inform,inform,init-price,counter-price,counter-price,,,,,,,,10.0
110,intro,init-price,inquiry,counter-price,agree,,,,,,,,,18.0
111,intro,inform,init-price,counter-price,inform,counter-price,,,,,,,,8.0
112,intro,disagree,counter-price,inquiry,counter-price,,,,,,,,,33.0
113,intro,init-price,disagree,inform,counter-price,insist,counter-price,insist,,,,,,
114,intro,counter-price,disagree,counter-price,,,,,,,,,,33.0
115,intro,inform,init-price,,,,,,,,,,,
116,intro,counter-price,agree,,,,,,,,,,,
117,intro,init-price,inquiry,inquiry,,,,,,,,,,
118,intro,init-price,inform,counter-price,disagree,agree,,,,,,,,22.0
119,intro,init-price,counter-price,counter-price,agree,,,,,,,,,
120,intro,disagree,counter-price,counter-price,,,,,,,,,,
121,intro,init-price,inquiry,disagree,counter-price,counter-price,counter-price,,,,,,,
122,intro,inform,inform,counter-price,counter-price,,,,,,,,,
123,intro,counter-price,disagree,,,,,,,,,,,
124,intro,counter-price,counter-price,counter-price,,,,,,,,,,
125,init-price,inform,counter-price,,,,,,,,,,,
126,intro,init-price,counter-price,disagree,,,,,,,,,,
127,intro,init-price,inform,insist,counter-price,,,,,,,,,
128,init-price,counter-price,counter-price,agree,,,,,,,,,,30.0
129,intro,inquiry,inform,agree,,,,,,,,,,
130,intro,counter-price,agree,,,,,,,,,,,
131,intro,inquiry,inform,,,,,,,,,,,0.0
132,intro,init-price,inquiry,counter-price,inquiry,,,,,,,,,
133,intro,init-price,counter-price,counter-price,agree,,,,,,,,,
134,intro,inform,counter-price,inform,agree,,,,,,,,,
135,intro,inform,disagree,counter-price,insist,,,,,,,,,24.0
136,intro,inform,counter-price,inform,counter-price,,,,,,,,,
137,intro,init-price,counter-price,insist,agree,agree,,,,,,,,20.0
138,intro,disagree,inform,counter-price,,,,,,,,,,
139,intro,inform,inform,counter-price,agree,,,,,,,,,
140,intro,inquiry,inform,init-price,counter-price,insist,inform,,,,,,,
141,intro,init-price,agree,,,,,,,,,,,16.0
142,intro,init-price,counter-price,,,,,,,,,,,
143,init-price,counter-price,,,,,,,,,,,,
144,intro,init-price,agree,,,,,,,,,,,40.0
145,intro,counter-price,agree,,,,,,,,,,,
146,intro,init-price,inform,inform,counter-price,agree,inform,,,,,,,
147,intro,init-price,counter-price,,,,,,,,,,,
148,intro,init-price,counter-price,counter-price,inquiry,,,,,,,,,
149,intro,init-price,counter-price,,,,,,,,,,,35.0
150,intro,agree,agree,counter-price,agree,,,,,,,,,
151,intro,counter-price,counter-price,,,,,,,,,,,
152,intro,counter-price,counter-price,,,,,,,,,,,5.0
153,intro,counter-price,,,,,,,,,,,,
154,init-price,counter-price,,,,,,,,,,,,
155,intro,inform,counter-price,,,,,,,,,,,
156,intro,counter-price,inquiry,inform,,,,,,,,,,
157,intro,init-price,counter-price,,,,,,,,,,,40.0
158,intro,inquiry,counter-price,disagree,counter-price,,,,,,,,,20.0
159,intro,init-price,inform,disagree,,,,,,,,,,
160,intro,init-price,inquiry,counter-price,,,,,,,,,,
161,intro,counter-price,inquiry,,,,,,,,,,,18.0
162,intro,init-price,counter-price,,,,,,,,,,,
163,intro,,,,,,,,,,,,,5.0
164,intro,init-price,inform,counter-price,,,,,,,,,,10.0
165,intro,init-price,inform,counter-price,,,,,,,,,,6.0
166,intro,disagree,init-price,disagree,counter-price,,,,,,,,,
167,intro,inquiry,counter-price,agree,inquiry,,,,,,,,,
168,intro,disagree,inform,counter-price,inform,,,,,,,,,
169,intro,counter-price,counter-price,inquiry,,,,,,,,,,
170,intro,inquiry,disagree,counter-price,,,,,,,,,,25.0
171,intro,inquiry,counter-price,,,,,,,,,,,4.0
172,intro,inform,inform,counter-price,inform,,,,,,,,,
173,intro,inquiry,disagree,,,,,,,,,,,
174,intro,counter-price,agree,,,,,,,,,,,14.0
175,intro,init-price,counter-price,,,,,,,,,,,13.0
176,intro,inform,disagree,counter-price,,,,,,,,,,
177,intro,inform,inform,inform,counter-price,counter-price,,,,,,,,23.0
178,intro,disagree,disagree,counter-price,,,,,,,,,,
179,intro,init-price,inform,counter-price,,,,,,,,,,
180,intro,disagree,disagree,counter-price,,,,,,,,,,
181,intro,inform,inform,counter-price,inquiry,,,,,,,,,30.0
182,intro,init-price,inform,disagree,counter-price,counter-price,,,,,,,,16.0
183,intro,init-price,disagree,counter-price,inquiry,inform,,,,,,,,
184,intro,inquiry,inquiry,inform,inform,counter-price,agree,,,,,,,15.0
185,intro,inquiry,counter-price,counter-price,,,,,,,,,,
186,intro,inquiry,init-price,,,,,,,,,,,20.0
187,intro,inquiry,inform,inform,disagree,counter-price,,,,,,,,
188,intro,counter-price,,,,,,,,,,,,16.0
189,intro,agree,,,,,,,,,,,,
190,intro,init-price,counter-price,,,,,,,,,,,24.0
191,intro,init-price,disagree,counter-price,counter-price,counter-price,insist,,,,,,,6.0
192,intro,inform,counter-price,counter-price,counter-price,agree,,,,,,,,
193,intro,counter-price,counter-price,,,,,,,,,,,
194,intro,inquiry,counter-price,agree,agree,,,,,,,,,
195,init-price,counter-price,counter-price,insist,,,,,,,,,,20.0
196,intro,init-price,counter-price,,,,,,,,,,,0.0
197,intro,counter-price,,,,,,,,,,,,
198,intro,inquiry,agree,agree,,,,,,,,,,22.0
199,intro,init-price,,,,,,,,,,,,
200,intro,inquiry,inform,inform,counter-price,counter-price,agree,,,,,,,
201,intro,init-price,counter-price,disagree,counter-price,counter-price,,,,,,,,15.0
202,intro,disagree,counter-price,,,,,,,,,,,
203,intro,inquiry,disagree,inform,inform,counter-price,agree,,,,,,,
204,intro,inform,counter-price,,,,,,,,,,,
205,intro,disagree,inform,disagree,counter-price,,,,,,,,,
206,intro,disagree,counter-price,counter-price,,,,,,,,,,
207,intro,inform,init-price,counter-price,counter-price,agree,,,,,,,,
208,init-price,inquiry,inquiry,agree,agree,,,,,,,,,22.0
209,intro,inquiry,inform,counter-price,,,,,,,,,,7.0
210,intro,disagree,counter-price,,,,,,,,,,,33.0
211,intro,counter-price,counter-price,,,,,,,,,,,
212,intro,counter-price,agree,,,,,,,,,,,17.0
213,intro,inform,counter-price,agree,,,,,,,,,,
214,intro,disagree,inform,counter-price,,,,,,,,,,
215,intro,counter-price,disagree,,,,,,,,,,,
216,intro,inquiry,counter-price,agree,,,,,,,,,,24.0
217,intro,inform,disagree,counter-price,,,,,,,,,,6.0
218,intro,counter-price,,,,,,,,,,,,0.0
219,intro,counter-price,counter-price,inquiry,inform,,,,,,,,,
220,intro,counter-price,,,,,,,,,,,,
221,intro,init-price,counter-price,counter-price,,,,,,,,,,
222,intro,counter-price,insist,agree,,,,,,,,,,
223,intro,init-price,counter-price,counter-price,,,,,,,,,,14.0
224,intro,init-price,inform,agree,,,,,,,,,,7.0
225,intro,init-price,inform,counter-price,counter-price,,,,,,,,,27.0
226,intro,init-price,counter-price,insist,insist,,,,,,,,,15.0
227,intro,inform,init-price,counter-price,,,,,,,,,,15.0
228,intro,disagree,counter-price,,,,,,,,,,,
229,intro,inform,counter-price,,,,,,,,,,,
230,intro,counter-price,,,,,,,,,,,,0.0
231,intro,counter-price,agree,,,,,,,,,,,
232,intro,inquiry,agree,,,,,,,,,,,
233,intro,agree,inform,counter-price,counter-price,,,,,,,,,
234,intro,counter-price,counter-price,,,,,,,,,,,
235,intro,counter-price,agree,,,,,,,,,,,
236,intro,init-price,counter-price,agree,,,,,,,,,,
237,intro,counter-price,,,,,,,,,,,,
238,intro,inform,counter-price,agree,,,,,,,,,,
239,init-price,inquiry,,,,,,,,,,,,
240,intro,init-price,counter-price,,,,,,,,,,,
241,intro,inform,counter-price,,,,,,,,,,,
242,intro,inform,inform,counter-price,,,,,,,,,,
243,init-price,inform,disagree,inform,inform,counter-price,,,,,,,,
244,intro,inquiry,disagree,inform,inform,counter-price,,,,,,,,33.0
245,intro,init-price,counter-price,,,,,,,,,,,
246,intro,counter-price,counter-price,disagree,,,,,,,,,,
247,intro,disagree,init-price,disagree,counter-price,,,,,,,,,
248,intro,inform,,,,,,,,,,,,
249,intro,inform,init-price,insist,inquiry,,,,,,,,,
250,intro,init-price,counter-price,counter-price,disagree,,,,,,,,,
251,intro,disagree,counter-price,counter-price,counter-price,,,,,,,,,
252,intro,inform,counter-price,,,,,,,,,,,
253,intro,disagree,inquiry,counter-price,,,,,,,,,,
254,intro,disagree,counter-price,insist,,,,,,,,,,
255,intro,inform,disagree,disagree,counter-price,agree,,,,,,,,
256,intro,inquiry,inform,inquiry,,,,,,,,,,
257,intro,disagree,init-price,,,,,,,,,,,14.0
258,intro,init-price,inform,counter-price,,,,,,,,,,
259,intro,disagree,inform,counter-price,counter-price,inquiry,disagree,agree,,,,,,37.0
260,intro,agree,counter-price,insist,insist,,,,,,,,,38.0
261,init-price,counter-price,counter-price,counter-price,,,,,,,,,,
262,intro,inquiry,inquiry,counter-price,,,,,,,,,,
263,intro,counter-price,agree,agree,,,,,,,,,,
264,intro,disagree,,,,,,,,,,,,0.0
265,intro,agree,disagree,inquiry,,,,,,,,,,
266,intro,init-price,agree,,,,,,,,,,,23.0
267,intro,agree,counter-price,counter-price,,,,,,,,,,
268,intro,inform,disagree,counter-price,,,,,,,,,,
269,intro,counter-price,inform,counter-price,insist,,,,,,,,,
270,intro,inform,init-price,disagree,counter-price,disagree,counter-price,,,,,,,28.0
271,intro,disagree,counter-price,,,,,,,,,,,10.0
272,intro,inform,inform,,,,,,,,,,,
273,intro,inquiry,counter-price,counter-price,inform,,,,,,,,,
274,intro,counter-price,insist,,,,,,,,,,,
275,intro,inquiry,inform,counter-price,counter-price,,,,,,,,,
276,intro,init-price,counter-price,,,,,,,,,,,5.0
277,intro,counter-price,inform,,,,,,,,,,,
278,intro,init-price,counter-price,agree,agree,,,,,,,,,33.0
279,intro,init-price,disagree,,,,,,,,,,,
280,intro,inform,,,,,,,,,,,,
281,intro,inquiry,inform,counter-price,counter-price,disagree,,,,,,,,
282,intro,init-price,counter-price,,,,,,,,,,,14.0
283,counter-price,counter-price,,,,,,,,,,,,
284,intro,counter-price,insist,counter-price,insist,,,,,,,,,
285,intro,inform,disagree,disagree,counter-price,inquiry,inform,,,,,,,11.0
286,intro,inquiry,counter-price,agree,agree,,,,,,,,,
287,intro,init-price,counter-price,,,,,,,,,,,13.0
288,intro,disagree,agree,,,,,,,,,,,22.0
289,intro,inform,counter-price,counter-price,inquiry,inquiry,,,,,,,,0.0
290,intro,inquiry,counter-price,,,,,,,,,,,
291,init-price,counter-price,inquiry,,,,,,,,,,,0.0
292,intro,disagree,inform,counter-price,agree,,,,,,,,,
293,intro,counter-price,counter-price,counter-price,,,,,,,,,,21.0
294,intro,counter-price,counter-price,,,,,,,,,,,
295,intro,inquiry,inquiry,disagree,counter-price,inquiry,,,,,,,,25.0
296,intro,disagree,disagree,counter-price,,,,,,,,,,
297,intro,counter-price,,,,,,,,,,,,0.0
298,intro,init-price,counter-price,counter-price,agree,,,,,,,,,21.0
299,intro,init-price,inform,counter-price,counter-price,,,,,,,,,0.0
300,intro,counter-price,counter-price,,,,,,,,,,,6.0
301,intro,init-price,counter-price,insist,accept,,,,,,,,,7.0
302,intro,counter-price,agree,agree,,,,,,,,,,4.0
303,intro,init-price,disagree,counter-price,disagree,counter-price,,,,,,,,
304,intro,counter-price,counter-price,,,,,,,,,,,
305,intro,inquiry,disagree,disagree,inform,inquiry,agree,,,,,,,
306,intro,inform,disagree,counter-price,,,,,,,,,,
307,intro,inform,counter-price,agree,,,,,,,,,,0.0
308,intro,init-price,inform,counter-price,agree,,,,,,,,,0.0
309,intro,counter-price,counter-price,counter-price,,,,,,,,,,8.0
310,intro,disagree,inform,inform,counter-price,inquiry,,,,,,,,15.0
311,init-price,inform,counter-price,counter-price,agree,,,,,,,,,25.0
312,intro,init-price,counter-price,insist,inquiry,counter-price,insist,counter-price,,,,,,
313,init-price,inform,inform,counter-price,counter-price,,,,,,,,,
314,intro,inquiry,counter-price,counter-price,,,,,,,,,,
315,intro,inform,inform,counter-price,agree,,,,,,,,,
316,intro,counter-price,agree,agree,,,,,,,,,,
317,intro,counter-price,disagree,counter-price,,,,,,,,,,0.0
318,intro,counter-price,,,,,,,,,,,,
319,intro,inquiry,counter-price,counter-price,inform,,,,,,,,,
320,intro,counter-price,agree,,,,,,,,,,,
321,intro,init-price,inform,,,,,,,,,,,
322,intro,inquiry,disagree,counter-price,agree,,,,,,,,,20.0
323,intro,counter-price,,,,,,,,,,,,
324,intro,counter-price,,,,,,,,,,,,
325,intro,inform,init-price,counter-price,,,,,,,,,,22.0
326,intro,disagree,counter-price,insist,counter-price,,,,,,,,,16.0
327,intro,counter-price,,,,,,,,,,,,
328,intro,init-price,disagree,disagree,counter-price,,,,,,,,,
329,intro,init-price,insist,counter-price,,,,,,,,,,
330,intro,init-price,counter-price,counter-price,,,,,,,,,,
331,intro,disagree,inform,counter-price,inform,,,,,,,,,3.0
332,intro,counter-price,,,,,,,,,,,,16.0
333,intro,init-price,counter-price,,,,,,,,,,,18.0
334,intro,inquiry,counter-price,inform,inquiry,inquiry,inquiry,,,,,,,5.0
335,intro,disagree,counter-price,counter-price,,,,,,,,,,3.0
336,intro,init-price,counter-price,counter-price,agree,,,,,,,,,11.0
337,intro,disagree,counter-price,agree,,,,,,,,,,
338,intro,inform,inform,counter-price,counter-price,,,,,,,,,
339,intro,init-price,counter-price,,,,,,,,,,,
340,intro,inform,counter-price,counter-price,,,,,,,,,,
341,intro,inquiry,counter-price,counter-price,,,,,,,,,,
342,intro,init-price,,,,,,,,,,,,
343,intro,counter-price,disagree,inform,inform,agree,,,,,,,,
344,intro,inform,counter-price,,,,,,,,,,,
345,intro,init-price,disagree,counter-price,agree,,,,,,,,,
346,intro,disagree,inform,,,,,,,,,,,0.0
347,intro,counter-price,counter-price,,,,,,,,,,,
348,intro,init-price,counter-price,counter-price,inquiry,,,,,,,,,
349,intro,init-price,counter-price,inform,agree,,,,,,,,,
350,intro,counter-price,inform,,,,,,,,,,,25.0
351,intro,inquiry,inform,counter-price,counter-price,counter-price,,,,,,,,
352,intro,inform,counter-price,,,,,,,,,,,
353,intro,inform,counter-price,,,,,,,,,,,0.0
354,intro,inform,counter-price,agree,,,,,,,,,,26.0
355,intro,inform,,,,,,,,,,,,20.0
356,intro,init-price,counter-price,,,,,,,,,,,
357,intro,counter-price,inform,agree,,,,,,,,,,6.0
358,intro,init-price,disagree,counter-price,counter-price,counter-price,inform,,,,,,,
359,intro,counter-price,counter-price,,,,,,,,,,,15.0
360,intro,init-price,counter-price,,,,,,,,,,,
361,intro,init-price,counter-price,,,,,,,,,,,
362,intro,counter-price,agree,counter-price,,,,,,,,,,
363,intro,disagree,inform,counter-price,agree,,,,,,,,,
364,intro,init-price,disagree,counter-price,agree,,,,,,,,,
365,intro,disagree,counter-price,counter-price,,,,,,,,,,
366,intro,init-price,inform,counter-price,,,,,,,,,,
367,intro,counter-price,,,,,,,,,,,,
368,intro,counter-price,agree,,,,,,,,,,,
369,intro,counter-price,,,,,,,,,,,,
370,intro,init-price,inform,counter-price,,,,,,,,,,6.0
371,intro,init-price,,,,,,,,,,,,0.0
372,intro,disagree,counter-price,agree,,,,,,,,,,20.0
373,intro,counter-price,inform,agree,,,,,,,,,,
374,intro,inform,counter-price,disagree,counter-price,,,,,,,,,
375,intro,disagree,inform,counter-price,agree,,,,,,,,,
376,intro,init-price,counter-price,inquiry,,,,,,,,,,
377,intro,counter-price,counter-price,counter-price,,,,,,,,,,
378,intro,inquiry,agree,,,,,,,,,,,
379,intro,inform,inform,inform,,,,,,,,,,
380,intro,inform,counter-price,agree,,,,,,,,,,16.0
381,intro,disagree,counter-price,inquiry,counter-price,,,,,,,,,25.0
382,intro,init-price,counter-price,counter-price,,,,,,,,,,
383,intro,init-price,,,,,,,,,,,,
384,intro,init-price,counter-price,,,,,,,,,,,
385,intro,inform,disagree,inquiry,init-price,,,,,,,,,
386,intro,disagree,inform,inform,agree,counter-price,,,,,,,,14.0
387,intro,inquiry,disagree,counter-price,,,,,,,,,,7.0
388,intro,disagree,counter-price,,,,,,,,,,,
389,intro,inform,agree,,,,,,,,,,,
390,counter-price,counter-price,disagree,,,,,,,,,,,
391,intro,disagree,,,,,,,,,,,,
392,intro,counter-price,,,,,,,,,,,,
393,intro,init-price,counter-price,,,,,,,,,,,
394,intro,inform,inform,disagree,inform,counter-price,inform,agree,,,,,,
395,intro,counter-price,inquiry,inform,,,,,,,,,,
396,intro,init-price,inform,inform,agree,,,,,,,,,
397,intro,inform,counter-price,,,,,,,,,,,
398,intro,init-price,,,,,,,,,,,,25.0
399,intro,disagree,inform,inform,disagree,counter-price,counter-price,,,,,,,
400,intro,disagree,counter-price,inform,,,,,,,,,,
401,intro,disagree,counter-price,counter-price,,,,,,,,,,
402,intro,init-price,counter-price,counter-price,agree,,,,,,,,,
403,intro,init-price,inform,inquiry,,,,,,,,,,
404,intro,init-price,disagree,counter-price,disagree,insist,,,,,,,,0.0
405,intro,inform,disagree,init-price,agree,,,,,,,,,15.0
406,intro,init-price,agree,counter-price,agree,,,,,,,,,
407,intro,disagree,init-price,counter-price,,,,,,,,,,
408,intro,inquiry,init-price,counter-price,counter-price,,,,,,,,,10.0
409,intro,counter-price,counter-price,agree,,,,,,,,,,4.0
410,intro,inform,disagree,,,,,,,,,,,20.0
411,intro,inform,counter-price,,,,,,,,,,,
412,intro,inquiry,inform,,,,,,,,,,,
413,intro,inform,disagree,counter-price,,,,,,,,,,25.0
414,intro,counter-price,counter-price,agree,,,,,,,,,,
415,intro,inquiry,counter-price,counter-price,agree,,,,,,,,,10.0
416,intro,inform,counter-price,counter-price,,,,,,,,,,
417,intro,counter-price,counter-price,,,,,,,,,,,
418,intro,disagree,init-price,counter-price,,,,,,,,,,
419,intro,disagree,disagree,inform,counter-price,,,,,,,,,
420,intro,counter-price,,,,,,,,,,,,
421,intro,inform,inform,counter-price,counter-price,,,,,,,,,14.0
422,intro,agree,inquiry,init-price,inform,counter-price,disagree,counter-price,,,,,,0.0
423,intro,inform,counter-price,counter-price,,,,,,,,,,12.0
424,intro,disagree,init-price,counter-price,inform,insist,,,,,,,,39.0
425,intro,,,,,,,,,,,,,25.0
426,intro,init-price,counter-price,agree,,,,,,,,,,14.0
427,intro,init-price,counter-price,insist,,,,,,,,,,
428,intro,disagree,inform,counter-price,,,,,,,,,,
429,intro,disagree,disagree,agree,,,,,,,,,,
430,intro,agree,inquiry,,,,,,,,,,,0.0
431,intro,init-price,inquiry,counter-price,inform,,,,,,,,,5.0
432,intro,inquiry,counter-price,,,,,,,,,,,
433,intro,init-price,inform,counter-price,,,,,,,,,,
434,intro,disagree,counter-price,,,,,,,,,,,
435,intro,disagree,init-price,inform,inform,quit,,,,,,,,
436,intro,disagree,counter-price,counter-price,agree,,,,,,,,,
437,intro,inquiry,counter-price,,,,,,,,,,,7.0
438,intro,disagree,disagree,counter-price,inquiry,inform,,,,,,,,
439,intro,disagree,inform,counter-price,agree,,,,,,,,,
440,intro,inform,counter-price,agree,inform,,,,,,,,,
441,intro,inform,disagree,counter-price,counter-price,agree,,,,,,,,
442,intro,init-price,inquiry,disagree,,,,,,,,,,37.0
443,intro,counter-price,,,,,,,,,,,,0.0
444,intro,inform,counter-price,inquiry,inform,,,,,,,,,12.0
445,intro,disagree,counter-price,counter-price,,,,,,,,,,10.0
446,intro,init-price,agree,disagree,agree,,,,,,,,,
447,intro,init-price,inform,,,,,,,,,,,14.0
448,init-price,counter-price,counter-price,,,,,,,,,,,0.0
449,intro,init-price,counter-price,inquiry,,,,,,,,,,0.0
450,intro,disagree,inform,counter-price,,,,,,,,,,
451,intro,disagree,init-price,agree,,,,,,,,,,16.0
452,intro,counter-price,,,,,,,,,,,,
453,intro,inform,inform,counter-price,,,,,,,,,,
454,intro,disagree,inform,counter-price,,,,,,,,,,
455,intro,init-price,inform,,,,,,,,,,,
456,intro,disagree,disagree,init-price,,,,,,,,,,
457,intro,counter-price,,,,,,,,,,,,0.0
458,intro,init-price,counter-price,counter-price,agree,,,,,,,,,3.0
459,intro,counter-price,counter-price,counter-price,,,,,,,,,,20.0
460,intro,agree,,,,,,,,,,,,5.0
461,init-price,inform,counter-price,,,,,,,,,,,7.0
462,intro,init-price,counter-price,,,,,,,,,,,16.0
463,intro,disagree,counter-price,insist,insist,,,,,,,,,
464,intro,counter-price,,,,,,,,,,,,
465,intro,inform,counter-price,agree,,,,,,,,,,
466,intro,init-price,counter-price,counter-price,,,,,,,,,,
467,intro,disagree,disagree,counter-price,,,,,,,,,,
468,intro,init-price,insist,disagree,disagree,insist,,,,,,,,
469,intro,inform,inform,init-price,counter-price,,,,,,,,,
470,intro,init-price,,,,,,,,,,,,20.0
471,intro,disagree,counter-price,,,,,,,,,,,0.0
472,intro,disagree,counter-price,counter-price,counter-price,counter-price,,,,,,,,
473,intro,counter-price,,,,,,,,,,,,14.0
474,init-price,counter-price,counter-price,,,,,,,,,,,8.0
475,intro,init-price,counter-price,agree,,,,,,,,,,16.0
476,intro,disagree,counter-price,,,,,,,,,,,
477,intro,init-price,counter-price,,,,,,,,,,,
